PQ525413.1
PQ525420.1
PQ591837.1
PQ591833.1
PQ591834.1
PQ585632.1
PQ615366.1
PQ885521.1
PQ824942.1
PQ825740.1
PQ663857.1
PQ663865.1
PQ664425.1
PQ664433.1
PQ664457.1
PQ664465.1
PQ664473.1
PQ797953.1
PQ797961.1
PQ797969.1
PQ797977.1
PQ797985.1
PQ797993.1
PQ798001.1
PQ798009.1
PQ798017.1
PQ798025.1
PQ798033.1
PQ798041.1
PQ798049.1
PQ798065.1
PQ798073.1
PQ809550.1
PQ843406.1
PQ843510.1
PQ843542.1
PQ843550.1
PQ843558.1
PQ843566.1
PQ843990.1
PQ843998.1
PQ844006.1
PQ844014.1
PQ844022.1
PQ844030.1
PQ844046.1
PQ844054.1
PQ844062.1
PQ844086.1
PQ844094.1
PQ844102.1
PQ844110.1
PQ844118.1
PQ844126.1
PQ844134.1
PQ859341.1
PQ859349.1
PQ859357.1
PQ859365.1
PQ859373.1
PQ892574.1
PQ892590.1
PQ892662.1
PQ892670.1
PQ892678.1
PQ892686.1
PQ892694.1
PQ892702.1
PQ892710.1
PQ892718.1
PQ892726.1
PQ892734.1
PQ892742.1
PQ892750.1
PQ892758.1
PQ892934.1
PQ892942.1
PQ892950.1
PQ892958.1
PQ892966.1
PQ892974.1
PQ892982.1
PQ893006.1
PQ893014.1
PQ893022.1
PQ893030.1
PQ893038.1
PV059865.1
PV059873.1
PV059881.1
PV059889.1
PV059897.1
PV059921.1
PV059929.1
PV059937.1
PV059945.1
PV059953.1
PV059985.1
PV059993.1
PV060001.1
PV060009.1
PV060017.1
PV060025.1
PV060033.1
PV060041.1
PV060049.1
PV060057.1
PV060065.1
PV060073.1
PV060081.1
PV060089.1
PV060097.1
PV060105.1
PV060113.1
PV060121.1
PV060129.1
PV060137.1
PV060145.1
PV060153.1
PV060161.1
PV060169.1
PV060465.1
PV060473.1
PV060481.1
PV060489.1
PV060497.1
PV060505.1
PV060513.1
PV060521.1
PV060529.1
PV060537.1
PV060545.1
PV070709.1
PV070717.1
PV070725.1
PV070733.1
PV070749.1
PV070757.1
PV070797.1
PV070805.1
PV070813.1
PV070821.1
PV070829.1
PV070837.1
PV070845.1
PV070853.1
PV070861.1
PV070869.1
PV070877.1
PV070909.1
PV070917.1
PV070973.1
PV070981.1
PV070997.1
PV071005.1
PV071013.1
PV071021.1
PV071029.1
PV071037.1
PV071045.1
PV071053.1
PV071061.1
PV071069.1
PV071077.1
PV071085.1
PV071093.1
PV071109.1
PV072093.1
PV072101.1
PV072109.1
PV072117.1
PV072125.1
PV072133.1
PV072141.1
PV072197.1
PV072205.1
PV072213.1
PV072221.1
PV072229.1
PV072237.1
PV072245.1
PV072253.1
PV072261.1
PV072269.1
PV072277.1
PV072285.1
PV072293.1
PV072301.1
PV072309.1
PV072317.1
PV072325.1
PV072333.1
PV072341.1
PV072349.1
PV072357.1
PV072365.1
PV072373.1
PV072381.1
PV072389.1
PV072397.1
PV072405.1
PV072413.1
PV113341.1
PV159351.1
PV159359.1
PV159391.1
PV159399.1
PV159407.1
PV159415.1
PV159423.1
PV159431.1
PV159455.1
PV159463.1
PV159471.1
PV159479.1
PV159487.1
PV159495.1
PV159503.1
PV159511.1
PV159519.1
PV159527.1
PV159535.1
PV159543.1
PV159551.1
PV159559.1
PV159567.1
PV159575.1
PV159599.1
PV159623.1
PV159631.1
PV159679.1
PV159687.1
PV159695.1
PV159703.1
PV159711.1
PV159719.1
PV159727.1
PV159743.1
PV159799.1
PV159807.1
PV159815.1
PV159823.1
PV159831.1
PV159839.1
PV159847.1
PV159887.1
PV159895.1
PV159903.1
PV159911.1
PV159919.1
PV159927.1
PV159935.1
PV159943.1
PV159951.1
PV159959.1
PV159967.1
PV160007.1
PV160015.1
PV160039.1
PV160047.1
PV160055.1
PV160063.1
PV160071.1
PV160079.1
PV160087.1
PV160095.1
PV160103.1
PV160111.1
PV160247.1
PV160255.1
PV161447.1
PV161455.1
PV161599.1
PV161607.1
PV161615.1
PV161623.1
PV161639.1
PV161647.1
PV161655.1
PV161663.1
PV161671.1
PV161679.1
PV161687.1
PV161695.1
PV161703.1
PV161711.1
PV161719.1
PV161727.1
PV161735.1
PV161807.1
PV161815.1
PV161823.1
PV161911.1
PV161951.1
PV161959.1
PV161967.1
PV161983.1
PV161991.1
PV162007.1
PV162015.1
PV162023.1
PV162031.1
PV162039.1
PV162047.1
PV162055.1
PV162063.1
PV162071.1
PV162103.1
PV162111.1
PV162135.1
PV162143.1
PV162151.1
PV162159.1
PV162167.1
PV162175.1
PV162183.1
PV162191.1
PV162207.1
PV162215.1
PV162255.1
PV162263.1
PV162303.1
PV162311.1
PV162319.1
PV162327.1
PV162335.1
PV162343.1
PV162351.1
PV162359.1
PV162367.1
PV162375.1
PV162383.1
PV162391.1
PV162399.1
PV162407.1
PV162415.1
PV162423.1
PV162431.1
PV162439.1
PV162455.1
PV177834.1
PV218193.1
PV218209.1
PV218225.1
PV218249.1
PV218265.1
PV218281.1
PV218289.1
PV218297.1
PV218305.1
PV218313.1
PV218321.1
PV218329.1
PV218353.1
PV218361.1
PV218369.1
PV218377.1
PV218545.1
PV218569.1
PV218945.1
PV218953.1
PV218961.1
PV218969.1
PV218977.1
PV218985.1
PV218993.1
PV219001.1
PV219009.1
PV219017.1
PV219025.1
PV219049.1
PV219057.1
PV219065.1
PV219073.1
PV219081.1
PV219089.1
PV219097.1
PV219105.1
PV219113.1
PV219121.1
PV219153.1
PV219161.1
PV219169.1
PV219177.1
PV219185.1
PV267416.1
PV267424.1
PV267432.1
PV267440.1
PV267448.1
PV267464.1
PV267472.1
PV267480.1
PV267488.1
PV267496.1
PV267520.1
PV267528.1
PV267536.1
PV267552.1
PV267560.1
PV267568.1
PV267576.1
PV267584.1
PV267592.1
PV267600.1
PV267608.1
PV267624.1
PV267632.1
PV267640.1
PV267648.1
PV267656.1
PV267664.1
PV267672.1
PV267680.1
PV267688.1
PV267696.1
PV267704.1
PV267728.1
PV267736.1
PV289759.1
PV289776.1
PV336134.1
PV336142.1
PV336150.1
PV336158.1
PV336166.1
PV336174.1
PV336182.1
PV336190.1
PV336205.1
PV336213.1
PV336228.1
PV336236.1
PV336244.1
PV336252.1
PV336260.1
PV336268.1
PV336276.1
PV336292.1
PV336300.1
PV336308.1
PV336316.1
PV336324.1
PV336332.1
PV336340.1
PV336372.1
PV336380.1
PV336388.1
PV336396.1
PV336404.1
PV336412.1
PV336420.1
PV336428.1
PV336436.1
PV336444.1
PV336452.1
PV336460.1
PV336468.1
PV336476.1
PV336484.1
PV336492.1
PV336500.1
PV336508.1
PV336516.1
PV336524.1
PV336532.1
PV336540.1
PV336548.1
PV336556.1
PV336564.1
PV336572.1
PV336580.1
PV336588.1
PV336596.1
PV336604.1
PV336612.1
PV336620.1
PV336628.1
PV336652.1
PV336668.1
PV336684.1
PV336692.1
PV336700.1
PV336708.1
PV336716.1
PV336724.1
PV336732.1
PV336740.1
PV336772.1
PV336780.1
PV336788.1
PV336796.1
PV336812.1
PV336820.1
PV336828.1
PV336836.1
PV336844.1
PV336852.1
PV336860.1
PV336868.1
PV336876.1
PV336884.1
PV336892.1
PV336900.1
PV336908.1
PV336916.1
PV336924.1
PV336948.1
PV336956.1
PV336972.1
PV337084.1
PV337140.1
PV337148.1
PV337156.1
PV337164.1
PV337172.1
PV337180.1
PV337188.1
PV337196.1
PV337204.1
PV337212.1
PV337220.1
PV337228.1
PV337236.1
PV337260.1
PV337268.1
PV337276.1
PV337284.1
PV337292.1
PV337308.1
PV337316.1
PV337340.1
PV337348.1
PV337356.1
PV337364.1
PV337372.1
PV337548.1
PV337556.1
PV337564.1
PV337572.1
PV337588.1
PV337596.1
PV337604.1
PV337612.1
PV337620.1
PV337628.1
PV337636.1
PV337644.1
PV337652.1
PV337660.1
PV337668.1
PV337676.1
PV337684.1
PV337692.1
PV337700.1
PV337724.1
PV337732.1
PV337740.1
PV337748.1
PV337756.1
PV337764.1
PV337772.1
PV337780.1
PV337788.1
PV337796.1
PV337804.1
PV337812.1
PV337820.1
PV337828.1
PV337836.1
PV337852.1
PV337860.1
PV337868.1
PV337876.1
PV337884.1
PV337924.1
PV337932.1
PV337940.1
PV337948.1
PV337956.1
PV337964.1
PV337972.1
PV337980.1
PV337988.1
PV337996.1
PV338004.1
PV338012.1
PV338020.1
PV338028.1
PV338036.1
PV338380.1
PV338388.1
PV338396.1
PV338404.1
PV338428.1
PV338436.1
PV338452.1
PV338460.1
PV338492.1
PV338940.1
PV338948.1
PV338956.1
PV338964.1
PV338972.1
PV338980.1
PV338988.1
PV338996.1
PV339004.1
PV339012.1
PV339068.1
PV339076.1
PV339084.1
PV339092.1
PV339100.1
PV339108.1
PV339116.1
PV339124.1
PV339132.1
PV339140.1
PV339148.1
PV339156.1
PV339164.1
PV339172.1
PV339228.1
PV339236.1
PV339244.1
PV339252.1
PV339260.1
PV339268.1
PV339276.1
PV339284.1
PV339292.1
PV339300.1
PV339308.1
PV339316.1
PV339324.1
PV339332.1
PV339340.1
